,Hidden Feature-1,Hidden Feature-2,Type
550,-50.92517,27.661066,Normal
551,-50.283783,26.241835,Normal
552,-49.826096,24.29384,Normal
553,-52.121758,27.35401,Normal
554,-50.876842,27.031002,Normal
555,-51.031334,26.67571,Normal
556,-50.56514,25.928308,Normal
557,-50.332752,26.569118,Normal
558,-50.64354,25.78209,Normal
559,-48.470596,26.622519,Normal
560,-50.192604,25.558237,Normal
561,-51.366062,25.578772,Normal
562,-50.58353,24.877045,Normal
563,-49.665215,23.941986,Normal
564,-49.861782,25.001951,Normal
565,-48.312412,22.016659,Normal
566,-50.99801,24.516941,Normal
567,-48.946503,26.19982,Normal
568,-49.581047,27.85814,Normal
569,-51.19106,28.101677,Normal
570,-50.330986,24.750875,Normal
571,-49.970726,27.126383,Normal
572,-50.57168,28.373104,Normal
573,-51.57024,27.395353,Normal
574,-51.076824,26.950012,Normal
575,-49.667603,26.981466,Normal
576,-50.96419,24.664562,Normal
577,-50.549297,24.720936,Normal
578,-49.963963,25.469534,Normal
579,-52.329723,27.588135,Normal
580,-51.366978,27.81477,Normal
581,-50.714645,25.563509,Normal
582,-50.026196,27.362154,Normal
583,-50.513664,23.970198,Normal
584,-51.867737,26.568588,Normal
585,-51.23066,27.178179,Normal
586,-50.818954,26.76629,Normal
587,-49.97977,27.404177,Normal
588,-50.159317,24.486813,Normal
589,-51.55193,24.546831,Normal
590,-48.858524,25.482738,Normal
591,-49.033188,24.932453,Normal
592,-52.831345,26.88332,Normal
593,-50.436813,27.437263,Normal
594,-51.904167,24.970158,Normal
595,-51.86135,24.707514,Normal
596,-51.091137,26.372757,Normal
597,-50.54074,27.044811,Normal
598,-50.37946,26.560545,Normal
599,-50.437073,26.12405,Normal
600,-26.76024,-25.825077,Normal
601,-26.61456,-29.447943,Normal
602,-28.930576,-33.222645,Normal
603,-28.60379,-33.950466,Normal
604,-29.54366,-34.357227,Normal
605,-34.50479,-34.744785,Normal
606,-36.31968,-34.110134,Normal
607,-38.93831,-32.23308,Normal
608,-39.644196,-31.571135,Normal
609,-39.998608,-30.658539,Normal
610,-30.356964,-26.442905,Normal
611,-32.96187,-23.126617,Normal
612,-31.08416,-22.469591,Normal
613,-40.153397,-7.0927296,Normal
614,-26.308926,-25.205488,Normal
615,-26.668762,-29.94156,Normal
616,-29.765419,-30.105589,Normal
617,-29.206957,-33.802498,Normal
618,-32.97438,-30.666079,Normal
619,-34.808407,-34.538357,Normal
620,-36.197437,-34.412514,Normal
621,-34.021004,-28.048115,Normal
622,-38.841534,-30.144567,Normal
623,-33.99276,-30.837238,Normal
624,-36.329998,-24.219822,Normal
625,-31.776024,-23.177435,Normal
626,-35.950344,-26.243187,Normal
627,-27.091606,-24.97605,Normal
628,-25.88084,-24.960356,Normal
629,-33.773323,-23.81355,Normal
630,-28.182528,-32.912018,Normal
631,-32.404808,-30.392412,Normal
632,-30.993063,-34.626743,Normal
633,-36.312187,-34.15326,Normal
634,-34.391655,-26.428759,Normal
635,-40.10735,-32.824055,Normal
636,-43.863792,1.5535686,Normal
637,-38.0511,-23.353777,Normal
638,-30.482555,-26.243948,Normal
639,-35.685642,-27.155176,Normal
640,-30.372528,-22.274054,Normal
641,-26.514635,-24.436293,Normal
642,-34.263195,-25.203049,Normal
643,-26.71236,-29.525293,Normal
644,-32.738583,-31.146532,Normal
645,-30.99638,-33.736965,Normal
646,-30.55149,-35.81374,Normal
647,-35.71794,-27.121172,Normal
648,-38.02728,-34.22969,Normal
649,-36.52244,-31.85435,Normal
650,-38.747574,-27.850069,Normal
651,-38.33868,-27.788364,Normal
652,-36.489124,-26.450666,Normal
653,-34.147682,-23.12646,Normal
654,-28.321516,-23.97891,Normal
655,-34.290302,-25.07714,Normal
656,-26.139053,-25.474384,Normal
657,-32.409634,-30.410847,Normal
658,-27.865507,-32.27498,Normal
659,-29.120155,-34.0856,Normal
660,-34.60604,-26.717524,Normal
661,-35.298054,-35.43351,Normal
662,-36.864216,-32.112682,Normal
663,-38.87845,-28.181694,Normal
664,-38.486237,-28.108843,Normal
665,-35.3982,-26.189564,Normal
666,-30.429848,-26.189339,Normal
667,-29.668785,-22.889145,Normal
668,-30.313597,-21.705055,Normal
669,-27.333607,-25.205135,Normal
670,-30.599846,-27.368076,Normal
671,-32.342907,-27.261501,Normal
672,-30.387661,-31.051443,Normal
673,-28.932339,-34.70693,Normal
674,-30.688541,-35.813667,Normal
675,-36.549675,-34.586384,Normal
676,-40.55741,-32.742977,Normal
677,-41.29967,-32.44334,Normal
678,-40.22052,-31.445103,Normal
679,-37.95091,-23.087692,Normal
680,-32.83689,-22.936697,Normal
681,-32.195488,-21.120836,Normal
682,-29.5237,-23.038176,Normal
683,-26.307558,-25.005499,Normal
684,-25.017075,-24.685123,Normal
685,-26.19247,-29.625668,Normal
686,-26.03928,-35.2752,Normal
687,-26.192427,-35.79907,Normal
688,-30.272943,-37.34338,Normal
689,-38.71071,-38.468403,Normal
690,-42.5213,-32.372524,Normal
691,-40.802113,-32.036728,Normal
692,-38.32058,-27.494513,Normal
693,-38.602,-21.679241,Normal
694,-36.34929,-26.73165,Normal
695,-28.86167,-22.482397,Normal
696,-35.646255,-27.512066,Normal
697,-26.419935,-23.59775,Normal
698,-26.04764,-25.023436,Normal
699,-26.123837,-29.635124,Normal
700,-29.094679,-36.454777,Normal
701,-35.910034,-38.002438,Normal
702,-43.632984,-32.198265,Normal
703,-44.040703,-30.355394,Normal
704,-43.61226,-27.660578,Normal
705,-38.464985,-20.944748,Normal
706,-32.939182,-18.912663,Normal
707,-32.09796,-18.904425,Normal
708,-21.484144,-22.761242,Normal
709,-19.698822,-21.652079,Normal
710,-19.9745,-22.528969,Normal
711,-17.175224,-23.69402,Normal
712,-25.864511,-34.243458,Normal
713,-27.859867,-36.11363,Normal
714,-28.807241,-36.551346,Normal
715,-35.932674,-38.960545,Normal
716,-43.62392,-30.860285,Normal
717,-43.74364,-30.522623,Normal
718,-43.591125,-28.586868,Normal
719,-40.62826,-21.952082,Normal
720,-31.931978,-19.030909,Normal
721,-31.818083,-19.194527,Normal
722,-21.010363,-22.79131,Normal
723,-20.692251,-23.048708,Normal
724,-20.564648,-23.513197,Normal
725,-20.497307,-23.864578,Normal
726,-27.823103,-36.65353,Normal
727,-27.806376,-36.62572,Normal
728,-28.171518,-36.230423,Normal
729,-36.649025,-37.819366,Normal
730,-44.793888,-33.20877,Normal
731,-44.32477,-29.781815,Normal
732,-44.294903,-28.416431,Normal
733,-38.917473,-20.722864,Normal
734,-32.749126,-18.157593,Normal
735,-32.486073,-18.350563,Normal
736,-21.33356,-22.566242,Normal
737,-19.832977,-21.47087,Normal
738,-17.420874,-21.843634,Normal
739,-17.021608,-23.600033,Normal
740,-25.655418,-34.36709,Normal
741,-19.15147,-41.267292,Normal
742,-28.623253,-36.70659,Normal
743,-36.60821,-38.735546,Normal
744,-44.562813,-33.09122,Normal
745,-44.098286,-30.3063,Normal
746,-43.932266,-28.470362,Normal
747,-38.534195,-20.754225,Normal
748,-32.89302,-18.37157,Normal
749,-32.163548,-18.463947,Normal
750,-20.99291,-22.087498,Normal
751,-20.383858,-22.010397,Normal
752,-17.960817,-22.292316,Normal
753,-26.268993,-34.92054,Normal
754,-27.627682,-35.913105,Normal
755,-27.765156,-35.899525,Normal
756,-28.948584,-36.496162,Normal
757,-36.80747,-37.932655,Normal
758,-29.222866,-5.1810613,Normal
759,-29.269354,-5.2649045,Normal
760,-16.406403,-7.8557453,Normal
761,-40.59746,-21.501055,Normal
762,-31.965044,-18.756977,Normal
763,-31.535961,-18.507664,Normal
764,-20.611614,-21.269897,Normal
765,-20.427572,-21.44382,Normal
766,-15.692061,-21.70106,Normal
767,-16.569283,-38.76528,Normal
768,-26.20258,-35.27436,Normal
769,-26.269705,-36.362514,Normal
770,-32.561058,-43.055435,Normal
771,-42.727962,-38.438465,Normal
772,-44.080494,-32.109837,Normal
773,-44.32567,-29.068047,Normal
774,-44.415752,-29.25655,Normal
775,-38.781746,-19.836966,Normal
776,-32.906208,-18.02004,Normal
777,-25.804201,-16.197826,Normal
778,-21.682224,-18.137163,Normal
